name,language
pyrus-nn,Python
nn-backpropogate,Python
pyronn,Python
nn-dataflow,Python
nn-helper,Python
nn-meter,Python
nn_wtf,Python
graph-tool-nn,Python
ace-nn,Python
nn-pruning,Python
nn6,Python
sd-nn,Python
qubo-nn,Python
gwu-nn,Python
nn,Python
e3nn,Python
nano-autograds,Python
manim-ml,Python
