package_name,language
brainfrick-language,Python
large-index,Python
language-check,Python
models,Python
pythaiasr,Python
guess-language,Python
llama-llm,Python
Flask-Language,Python
large-image,Python
language-detector,Python
language-tags,Python
Language-Translator,Python
exo-language,Python
language,Python
language-data,Python
